CIV,high ,0.75393193,3.367878256
FRA,Q1,0.753923571,3.311251671
SEN,middle,0.751712568,3.288406475
LTU,Q2,0.751678186,3.286422363
CZE,Q1,0.751574556,3.273209979
ROU,Q3,0.751219188,3.27086883
LVA,Q2,0.75053404,3.241296563
ITA,Q1,0.750463543,3.21111958
TZA,middle,0.748439805,3.195088335
NIC,low,0.748417978,3.175660716
PRT,Q2,0.748357257,3.150571164
POL,Q1,0.747997612,3.126872955
TUR,Q3,0.746702182,3.125633171
BGR,Q2,0.744157796,3.029236738
LAO,high ,0.74390703,2.968164602
MUS,low,0.743904929,2.9338932
LKA,middle,0.743783824,2.928413017
BLR,low,0.743544304,2.900282694
ZMB,middle,0.743193275,2.884722714
HND,middle,0.743165417,2.866596013
SWE,Q1,0.743060673,2.799845013
MOZ,middle,0.742737778,2.791249294
MAR,middle,0.742707873,2.734651489
KEN,middle,0.741921277,2.673045425
BRA,middle,0.74179495,2.652379062
BEN,low,0.732602617,2.651745401
PER,middle,0.732476477,2.607964317
BOL,middle,0.731257488,2.603904457
MEX,low,0.730870356,2.601736689
ESP,Q1,0.721402093,2.596458073
AZE,low,0.719807997,2.590068701
RUS,low,0.71883006,2.555211616
BGD,middle,0.711694144,2.503319152
ZAF,low,0.711586417,2.47792982
HUN,Q1,0.708750267,2.477111119
LTU,Q1,0.708411887,2.473874695
TUR,Q2,0.708308258,2.468339275
ETH,high ,0.705763872,2.464733341
ROU,Q2,0.705758637,2.422815417
BFA,middle,0.705073489,2.402001611
LVA,Q1,0.705058839,2.401909283
SVK,Q1,0.704988343,2.379349417
PRY,middle,0.704804572,2.370507814
JOR,low,0.70455723,2.34479029
UKR,low,0.703979096,2.326570714
EGY,low,0.700450945,2.304434492
HRV,Q1,0.695274219,2.297134583
GHA,middle,0.695128317,2.266635408
ALB,middle,0.69490817,2.241839856
KGZ,low,0.694723969,2.171199815
IDN,low,0.694238824,2.168569642
NAM,low,0.684282325,2.16342635
KAZ,lowest ,0.684206764,2.161067039
